escena,entrada,gt_People,gt_Lamp,tp_People,tp_Lamp,recupera_People,recupera_Lamp,recupera_ambas
00410,TopHat_Clasico,6,1,2,1,1,1,1
00410,Propuesta_Novedosa,6,1,3,1,1,1,1
00413,VIS,6,1,3,1,1,1,1
00413,IR,6,1,5,0,1,0,0
00413,PiramideLaplace,6,1,3,0,1,0,0
00413,RatioPiramide,6,1,4,0,1,0,0
00413,DWT,6,1,3,0,1,0,0
00413,DTCWT,6,1,3,0,1,0,0
00413,Curvelet,6,1,3,0,1,0,0
00413,TopHat_Clasico,6,1,3,0,1,0,0
00413,Propuesta_Novedosa,6,1,3,0,1,0,0
00419,VIS,2,2,0,2,0,1,0
00419,IR,2,2,0,2,0,1,0
00419,PiramideLaplace,2,2,0,2,0,1,0
00419,RatioPiramide,2,2,0,1,0,1,0
00419,DWT,2,2,0,2,0,1,0
00419,DTCWT,2,2,0,2,0,1,0
00419,Curvelet,2,2,0,2,0,1,0
00419,TopHat_Clasico,2,2,0,1,0,1,0
00419,Propuesta_Novedosa,2,2,0,1,0,1,0
00422,VIS,5,1,4,0,1,0,0
00422,IR,5,1,5,0,1,0,0
00422,PiramideLaplace,5,1,5,0,1,0,0
00422,RatioPiramide,5,1,5,0,1,0,0
00422,DWT,5,1,5,0,1,0,0
00422,DTCWT,5,1,5,0,1,0,0
00422,Curvelet,5,1,5,0,1,0,0
00422,TopHat_Clasico,5,1,5,0,1,0,0
00422,Propuesta_Novedosa,5,1,5,0,1,0,0
00425,VIS,8,1,6,1,1,1,1
00425,IR,8,1,7,0,1,0,0
00425,PiramideLaplace,8,1,5,0,1,0,0
00425,RatioPiramide,8,1,6,0,1,0,0
00425,DWT,8,1,5,0,1,0,0
00425,DTCWT,8,1,5,0,1,0,0
00425,Curvelet,8,1,5,0,1,0,0
00425,TopHat_Clasico,8,1,5,0,1,0,0
00425,Propuesta_Novedosa,8,1,5,0,1,0,0
00427,VIS,8,1,5,0,1,0,0
00427,IR,8,1,5,0,1,0,0
00427,PiramideLaplace,8,1,4,0,1,0,0
00427,RatioPiramide,8,1,5,0,1,0,0
00427,DWT,8,1,4,0,1,0,0
00427,DTCWT,8,1,4,0,1,0,0
00427,Curvelet,8,1,4,0,1,0,0
00427,TopHat_Clasico,8,1,5,0,1,0,0
00427,Propuesta_Novedosa,8,1,5,0,1,0,0
00428,VIS,7,1,5,0,1,0,0
00428,IR,7,1,6,0,1,0,0
00428,PiramideLaplace,7,1,5,0,1,0,0
00428,RatioPiramide,7,1,5,0,1,0,0
00428,DWT,7,1,4,0,1,0,0
00428,DTCWT,7,1,5,0,1,0,0
00428,Curvelet,7,1,5,0,1,0,0
00428,TopHat_Clasico,7,1,4,0,1,0,0
00428,Propuesta_Novedosa,7,1,5,0,1,0,0
00438,VIS,5,4,2,3,1,1,1
00438,IR,5,4,3,4,1,1,1
00438,PiramideLaplace,5,4,2,4,1,1,1
00438,RatioPiramide,5,4,2,3,1,1,1
00438,DWT,5,4,2,3,1,1,1
00438,DTCWT,5,4,2,4,1,1,1
00438,Curvelet,5,4,2,4,1,1,1
00438,TopHat_Clasico,5,4,2,2,1,1,1
00438,Propuesta_Novedosa,5,4,2,3,1,1,1
00440,VIS,7,4,2,4,1,1,1
00440,IR,7,4,3,4,1,1,1
00440,PiramideLaplace,7,4,3,4,1,1,1
00440,RatioPiramide,7,4,3,4,1,1,1
00440,DWT,7,4,2,4,1,1,1
00440,DTCWT,7,4,2,4,1,1,1
00440,Curvelet,7,4,2,4,1,1,1
00440,TopHat_Clasico,7,4,2,4,1,1,1
00440,Propuesta_Novedosa,7,4,2,3,1,1,1
00442,VIS,8,4,2,4,1,1,1
00442,IR,8,4,6,4,1,1,1
00442,PiramideLaplace,8,4,5,4,1,1,1
00442,RatioPiramide,8,4,5,4,1,1,1
