imagen,particulas,iteraciones,r,m,SSIM_avg,E,SF,SD,PSNR,FO
Athena_heather_hei_vis,10,30,25,0.0516,0.72515,6.745178,8.419021,0.109364,16.114259,1.729441
Athena_heather_hei_vis,10,40,25,0.0516,0.72516,6.745095,8.417424,0.109358,16.1143,1.729441
Athena_heather_hei_vis,10,50,25,0.0516,0.725145,6.745225,8.419959,0.109367,16.114234,1.729441
Athena_helicopter_helib_011,2,10,1,0.1438,0.854682,4.943307,4.115534,0.038521,18.547478,1.658073
Athena_helicopter_helib_011,2,20,6,0.0922,0.852489,4.986119,4.255102,0.039538,18.543234,1.660734
Athena_helicopter_helib_011,2,30,1,0.1417,0.854827,4.942808,4.099311,0.038511,18.547551,1.658156
Athena_helicopter_helib_011,2,40,25,0.1095,0.844381,5.116222,4.786505,0.044514,18.520569,1.669118
Athena_helicopter_helib_011,2,50,25,0.1094,0.844412,5.116146,4.784632,0.044507,18.520631,1.669138
Athena_helicopter_helib_011,4,10,25,0.1111,0.843946,5.119541,4.812285,0.04462,18.519708,1.669088
Athena_helicopter_helib_011,4,20,25,0.1118,0.843764,5.121249,4.822957,0.044663,18.519348,1.669118
Athena_helicopter_helib_011,4,30,25,0.01,0.859306,4.881375,3.217173,0.038431,18.549722,1.654975
Athena_helicopter_helib_011,4,40,25,0.1124,0.843583,5.122691,4.833566,0.044706,18.518989,1.669122
Athena_helicopter_helib_011,4,50,25,0.1094,0.84441,5.116146,4.78475,0.044507,18.520628,1.669138
